,before_TWh,target_TWh,after_TWh,factor
AT0 0,69.4709,139.269,139.269,2.00471
BE0 0,84.9118,175.822,175.822,2.07065
BG0 0,35.4968,62.3833,62.3833,1.75744
CZ0 0,62.8753,142.014,142.014,2.25866
DE0 0,462.558,1036.48,1036.48,2.24075
DK0 0,18.0694,39.3039,39.3039,2.17517
DK6 0,13.8,29.6503,29.6503,2.14858
EE5 0,7.93091,17.6311,17.6311,2.22309
ES0 0,241.174,454.156,454.156,1.8831
ES3 0,5.21277,9.26848,9.26848,1.77803
FI6 0,87.3418,98.5759,98.5759,1.12862
FR0 0,493.649,821.869,821.869,1.66489
GB2 0,7.32133,11.87,11.87,1.6213
GB4 0,298.18,581.632,581.632,1.95061
GR0 0,46.4498,93.0633,93.0633,2.00352
HR0 0,17.082,35.518,35.518,2.07926
HU0 0,39.0298,99.8203,99.8203,2.55754
IE2 0,25.836,57.8244,57.8244,2.23814
IT0 0,302.343,553.45,553.45,1.83054
IT1 0,13.6689,23.0604,23.0604,1.68707
LT5 0,10.5744,17.5846,17.5846,1.66294
LU0 0,6.79692,13.7234,13.7234,2.01906
LV5 0,7.33978,26.9816,26.9816,3.67608
NL0 0,113.953,226.273,226.273,1.98567
PL0 0,146.47,411.062,411.062,2.80645
PT0 0,49.1042,92.3538,92.3538,1.88077
RO0 0,51.1304,134.338,134.338,2.62737
SE6 0,139.532,168.798,168.798,1.20974
SI0 0,12.7756,29.1913,29.1913,2.28492
SK0 0,27.8458,50.7301,50.7301,1.82182
